Name,Text,Interjection
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1012.wav,WHICH IS WHICH IS team b| W {blocks} W WA WA went through| and they,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1013.wav,won the finals.  Um| ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1015.wav,KA R K cricket. Um,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1016.wav,THE THE THE LAST THE THE LAST  ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1017.wav,TEI T TEI T TEI TEI    TEI test between,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1018.wav,um England and New Zealand| I I I,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1019.wav,I I I   IIIngland won with ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1020.wav,um two hundred and FAW FFFAW forty one runs ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1021.wav,a to ER one I think. ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1022.wav,And er| and DH THE first game ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1024.wav,Um| what else can we talk ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1026.wav,hobbies. Um| my,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1028.wav,Um| swimming| wrestling| ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1029.wav,um playing F F F F F F F F F F F football ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1030.wav,and playing KR cricket. Um|,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1032.wav,Alright| m|,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1033.wav,my family| um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1034.wav,right| my dad HHHHHe is,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1035.wav,FAW FA forty four AND AND he,1.0
D:\placements\paleru_technology\data\UCLASS\M_0210_11y3m_1_id1036.wav,works as an E he works AA AAZ as an accountant. ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id910.wav,um um| and if I ain't a FOOGX{block},1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id912.wav,a RESHstler or| ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id913.wav,what was that other one? UM|,1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id916.wav,UM I K   ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id917.wav,ER ER I  ER  I ER ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id918.wav,UM  UM U ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id920.wav,IE{block}IEgeware.  And,1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id921.wav,um. And I've got three friends at WWWWWWeston| ONEâ€™S,1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id925.wav,s at Wer{block}pole primary| ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id926.wav,AND J A AND :ames EL{block},1.0
D:\placements\paleru_technology\data\UCLASS\M_0213_10y10m_1_id931.wav,| and SO SO he WENT WEN {block} E-ENT  off,1.0
D:\placements\paleru_technology\data\UCLASS\M_0219_11y2m_1_id647.wav,BLOW em up and um BUILD it up strategy game. ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0219_11y2m_1_id651.wav,so you can build your uh ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0219_11y2m_1_id652.wav,FACILITIES like cable lab and ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0219_11y2m_1_id670.wav,er two teams,1.0
D:\placements\paleru_technology\data\UCLASS\M_0219_11y2m_1_id682.wav,FOR THE ARM FOR THE ARM which is like the rebel side ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0234_09y9m_1_id618.wav,going to tell  you  er I  don't  know,1.0
D:\placements\paleru_technology\data\UCLASS\M_0234_09y9m_1_id619.wav,what  to  say!  Er er,1.0
D:\placements\paleru_technology\data\UCLASS\M_0234_09y9m_1_id620.wav,my  favourite  SPORT is  TO  um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0234_09y9m_1_id625.wav,{Prompted by interviewer}  er  er,1.0
D:\placements\paleru_technology\data\UCLASS\M_0234_09y9m_1_id626.wav,er I  don't  know  what  to  say  about,1.0
D:\placements\paleru_technology\data\UCLASS\M_0234_09y9m_1_id631.wav,place  I  ever  been|  was  to  er,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_08y10m_1_id549.wav,Um a few D DAYS ago,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_08y10m_1_id556.wav,err wum went to it and then I asked ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_08y10m_1_id558.wav,GAMEBOY and err um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_08y10m_1_id575.wav,um| af ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id747.wav,Um| really| last holiday ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id749.wav,And um| she has,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id753.wav,and um but it was so hot ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id755.wav,But my F FAVOUROTE part is when we went to this um| ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id757.wav,and one wave came every er,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id759.wav,er I mean| I mean every five M M ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id762.wav,Um| I| there was,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id768.wav,LLLADDY| the dog| and we um| I ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id770.wav,puzzled.  Um| ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y2m_1_id775.wav,Um| we also SSAwam in the lake.,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id684.wav,um I have six cousins on my er DA,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id685.wav,DAD'S er side of the family.But ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id687.wav,So when my um W um aunty ,2.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id690.wav,when I um| w um knew ,2.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id692.wav,and she said wâ€™m going to have it in uh,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id695.wav,Um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id697.wav,um used to have two ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id699.wav,uh WW A ADOPTED a W um ,2.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id706.wav,the barking. and um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id707.wav,she's a um,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id711.wav,Um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id712.wav,L LADDIE this um one dog that she has I ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0394_09y5m_1_id715.wav,and um he used to um S SIT on M MY lap,2.0
D:\placements\paleru_technology\data\UCLASS\M_0399_12y4m_1_id442.wav,but (ER) at school they do um wide variety of ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0399_12y4m_1_id447.wav,um really kind of (ER) forward| but erm helps at the back as ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0399_12y4m_1_id457.wav,I just like it. And um my worst subject,1.0
D:\placements\paleru_technology\data\UCLASS\M_0399_12y4m_1_id460.wav,Um| at home| I like to play on the,1.0
D:\placements\paleru_technology\data\UCLASS\M_0399_12y4m_1_id465.wav,and I'm hoping to get my er new website done|,1.0
D:\placements\paleru_technology\data\UCLASS\M_0399_12y4m_1_id466.wav,um| later this year.,1.0
D:\placements\paleru_technology\data\UCLASS\M_0556_07y8m_1_id346.wav,Um um MA FA FAVOURITE,2.0
D:\placements\paleru_technology\data\UCLASS\M_0556_07y8m_1_id347.wav,things um is my|,1.0
D:\placements\paleru_technology\data\UCLASS\M_0556_07y8m_1_id353.wav,um sometimes I get on,1.0
D:\placements\paleru_technology\data\UCLASS\M_0556_07y8m_1_id370.wav,but. Um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0556_08y0m_1_id376.wav,um| I like Dragonball,1.0
D:\placements\paleru_technology\data\UCLASS\M_0556_08y0m_1_id382.wav,and it has um S SOUNDS,1.0
D:\placements\paleru_technology\data\UCLASS\M_0556_08y0m_1_id400.wav,Um his ,1.0
